# Description: Public SysCilia Gold Standard Version 1
# Authors: TJP van Dam, G Wheway, GG Slaats, SYSCILIA Study Group, MA Huynen, RH Giles
# Date: 2013-05-22
# Version: 1.0 (GS version 4.0)
# Ensembl version: 71
# Note: First official PUBLIC release version of the SysCilia Gold Standard. Published in the Cilia journal
# Column 1: ensembl gene id
# Column 2: gene name
# Column 3: gene description from ensembl
# Column 4: Curator's note, describes reason for including the gene in the gold standard.
# Column 5: evidence for ciliary involvement as pubmed ids
# Column 6: ciliome studies that report this gene
# Column 7: Cellular and ciliary localisation of the protein
## ensembl_gene_id	ensembl_gene_symbol	ensembl_gene_desc	scgs_note	scgs_pubmed	scgs_ciliomes	scgs_localisation
ENSG00000138031	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:234]	Localized to the plasma membrane of neuronal cilia PMID: 17924533, PMID: 23392690	PMID:17924533, PMID:23392690	Mayer et al. 2009	Ciliary Membrane
ENSG00000141577	AZI1	5-azacytidine induced 1 [Source:HGNC Symbol;Acc:29511]	CEP131 Drosophila homologue required for ciliogenesis	PMID:21750193	Andersen et al. 2003, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006, Pazour et al. 2005	Basal Body, Centrosome
ENSG00000108641	B9D1	B9 protein domain 1 [Source:HGNC Symbol;Acc:24123]	Mutated in Meckel-Gruber syndrome (type 9) OMIM 614144 although mutations only found in 1 family PMID:21493627. Interacts with B9D2 and MKS1 at the transition zone PMID:22179047	PMID:21493627, PMID:21763481, PMID:22179047		Transition Zone
ENSG00000123810	B9D2	B9 protein domain 2 [Source:HGNC Symbol;Acc:28636]	Mutated in Meckel-Gruber syndrome (type10) OMIM 611951 although mutations only found in 1 family PMID:21763481. Interacts with B9D2 and MKS1 at the transition zone PMID:22179047	PMID:21493627, PMID:21763481, PMID:22179047	Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007	Transition Zone
ENSG00000174483	BBS1	Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:966]	Mutated in Bardet-Biedl syndrome (type 1) OMIM 209901 PMID: 12118255. Forms part of BBSome, mediates interaction with RABIN8 (RAB3IP), important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986	PMID:12118255, PMID: 20603001, PMID:17574030, PMID:22072986	Nogales-Cadenas et al. 2006	Basal Body, Cilium
ENSG00000179941	BBS10	Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:26291]	Mutated in Bardet-Biedl syndrome (type 10) OMIM 610148 PMID:16582908. Chaperonin-like protein. Forms complex with other chaperonin-like BBS proteins to  facilitate BBSome assembly PMID:20080638. At basal body of differentiating preadipocytes. Role in targeting of Wnt and Hh receptors to this cilium PMID:19190184	PMID:16582908, PMID:20080638		Basal body
ENSG00000181004	BBS12	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:26648]	Mutated in Bardet-Biedl syndrome (type 12) OMIM 610683 PMID:17160889 Forms complex with other chaperonin-like BBS proteins to  facilitate BBSome assembly PMID:20080638. At basal body of differentiating preadipocytes. Role in targeting of Wnt and Hh receptors to this cilium PMID:19190184.	PMID:17160889, PMID:20080638, PMID:19190184.		Basal body
ENSG00000125124	BBS2	Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:967]	Mutated in Bardet-Biedl syndrome (type 2) OMIM 606151 PMID:11285252. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986	PMID:11285252, PMID: 20603001, PMID:17574030, PMID:22072986	Blacque et al. 2005, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007	Basal Body, Cilium
ENSG00000140463	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:969]	Mutated in Bardet-Biedl syndrome (type 4) OMIM 600374 PMID:11381270. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986	PMID:11381270, PMID: 20603001, PMID:17574030, PMID:22072986	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Cilium
ENSG00000163093	BBS5	Bardet-Biedl syndrome 5 [Source:HGNC Symbol;Acc:970]	Mutated in Bardet-Biedl syndrome (type 5) OMIM 603650 PMID:15137946. Forms part of BBSome, mediates binding to phospholipids, predominantly phosphatidylinositol 3-phosphate PMID: 20603001, PMID:17574030, PMID:22072986	PMID:15137946, PMID: 20603001, PMID:17574030, PMID:22072986	Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005	Basal Body
ENSG00000138686	BBS7	Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:18758]	Mutated in Bardet-Biedl syndrome (type 7) OMIM 607590 PMID:12567324. Forms part of BBSome important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986	PMID:12567324, PMID: 20603001, PMID:17574030, PMID:22072986	Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Cilium
ENSG00000122507	BBS9	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:30000], Parathyroid hormone-responsive B1, PTHB1	Mutated in Bardet-Biedl syndrome (type 7) OMIM 607968 PMID:16380913. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking. Complex-organizing subunit of BBSome. PMID: 20603001, PMID:17574030, PMID:22072986	PMID:16380913, PMID: 20603001, PMID:17574030, PMID:22072986	Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Liu et al. 2007, Merchant et al. 2007	Cilium
ENSG00000160226	C21orf2	chromosome 21 open reading frame 2 [Source:HGNC Symbol;Acc:1260]	Structural cilia defects after knockdown PMID:21289087 	PMID:21289087	Avidor-Reiss et al. 2004, Li et al. 2004, Pazour et al. 2005, Ross et al. 2007	
ENSG00000168014	C2CD3	C2 calcium-dependent domain containing 3 [Source:HGNC Symbol;Acc:24564]	Required for cilia formation and Hh signalling PMID:19004860	PMID:19004860	Andersen et al. 2003	Basal body
ENSG00000179270	C2orf71	chromosome 2 open reading frame 71 [Source:HGNC Symbol;Acc:34383]	Mutated in retinitis pigmentosa (type 54) OMIM 613425 PMID:20398886, PMID:20398884, specifically expressed in the eye.	PMID:20398884, PMID:20398886		Basal body
ENSG00000156172	C8orf37	chromosome 8 open reading frame 37 [Source:HGNC Symbol;Acc:27232]	Mutated in cone-rod dystrophy (type 16) and retinitis pigmentosa (type 64) OMIM 614477 PMID:22177090. Localizes to Basal body in cultured RPE cells and Basal body and ciliary rootlet in mouse photoreceptors 	PMID:22177090	Li et al. 2004, Merchant et al. 2007	Basal Body, Ciliary Root
ENSG00000100211	CBY1	chibby homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:1307]	Interacts with ODF1 (cenexin) at mother centriole. Functions in primary cilia formation PMID:22911743	PMID:22911743	Laurencon et al. 2007	Centriole
ENSG00000048342	CC2D2A	coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:29253]	Mutated in Cerebellar vermis hypo/aplasia, Oligophrenia, congenital Ataxi, ocular Coloboma and Hepatic fibrosis (COACH) syndrome, Joubert syndrome (type 9) and Meckel-Gruber syndrome (type 6) OMIM 612013 PMID:19574260, PMID:18387594/PMID:19068953, PMID:18513680. At transition zone PMID:21422230. Interacts with CEP290 at basal body PMID:18950740. Interacts with B9 domain proteins in an 'MKS module' at transition zone PMID:21422230	PMID:18950740, PMID:18513680, PMID:19574260	Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, Ross et al. 2007	Transition Zone
ENSG00000167131	CCDC103	coiled-coil domain containing 103 [Source:HGNC Symbol;Acc:32700]	Mutated in primary ciliary dyskinesia (type 17) OMIM 614667 PMID:22581229 Functions in binding of dynein arms to cilia microtubules. 	PMID:22581229	Laurencon et al. 2007, Li et al. 2004	Axoneme, Cytoplasm
ENSG00000105479	CCDC114	coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:26560]	Mutated in primary ciliary dyskinesia (type 20) OMIM 615038 PMID:23261302, PMID: 23261303 Axonemal outer dynein arm docking complex gene. Required for microtubular attachment of outer dynein arms in the ciliary axoneme	PMID:23261302, PMID: 23261303	Boesger et al. 2009, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Cilium
ENSG00000157856	CCDC164	coiled-coil domain containing 164 [Source:HGNC Symbol;Acc:24245]	DRC1. Mutated in primary ciliary dyskinesia. Nexin-dynein regulatory complex subunit. Essential for motile cilia function PMID:23354437	PMID:23354437	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Broadhead et al. 2006, McClintock et al. 2008, Ross et al. 2007, Smith et al. 2005	Axoneme
ENSG00000160050	CCDC28B	coiled-coil domain containing 28B [Source:HGNC Symbol;Acc:28163] 	BBS modifier. Required for ciliogenesis PMID: 23015189	PMID:23015189		
ENSG00000163885	CCDC37	coiled-coil domain containing 37 [Source:HGNC Symbol;Acc:26842]	Structural cilia defects after knockdown PMID:21289087 	PMID:21289087	Arnaiz et al. 2009, Arnaiz et al. 2010, Li et al. 2004, Merchant et al. 2007, Pazour et al. 2005, Stolc et al. 2005	
ENSG00000145075	CCDC39	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:25244]	Mutated in primary ciliary dyskinesia (type 14) OMIM 613798 PMID:21131972 Essential for assembly of inner dynein arms and the dynein regulatory complex	PMID:21131972	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005	Axoneme
ENSG00000141519	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:26090]	Mutated in primary ciliary dyskinesia (type 15) OMIM 613799 PMID:21131974 Essential for assembly of inner dynein arms and the dynein regulatory complex	PMID:21131974	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005	Axoneme
ENSG00000173588	CCDC41	coiled-coil domain containing 41 [Source:HGNC Symbol;Acc:17966]	CEP83. Distal appendage of centrioles, essential for ciliogenesis PMID:23348840. Required for ciliary vesicle docking to the mother centriole PMID:23530209	PMID:23348840, PMID:23530209	McClintock et al. 2008, Ross et al. 2007	Centriole
ENSG00000107736	CDH23	cadherin-related 23 [Source:HGNC Symbol;Acc:13733]	Mutated in autosomal recessive deafness (type 12) and Usher syndrome (type 1D) OMIM 605516 PMID:11090341, PMID:11138009. Required for stereocilia organisation PMID:11138008, especially tip links PMID:15057246	PMID:11090341, PMID:11138009, PMID:11138008, PMID:15057246	Nogales-Cadenas et al. 2006	Connecting Cilium, Stereocilium
ENSG00000151849	CENPJ	centromere protein J [Source:HGNC Symbol;Acc:17272]	Required for cilia formation in neuronal cells. PMID: 23213448	PMID:23213448	Andersen et al. 2003, Avidor-Reiss et al. 2004, Broadhead et al. 2006, Muller et al. 2010, Nogales-Cadenas et al. 2006	Centrosome
ENSG00000116198	CEP104	centrosomal protein 104kDa [Source:HGNC Symbol;Acc:24866]	Microtubule plus-end tracking protein (+TIP). Interacts with CP110 and CEP97 at the centriole and is required for ciliogenesis PMID:22885064	PMID:22885064	Arnaiz et al. 2010, Blacque et al. 2005, Li et al. 2004, Pazour et al. 2005	Centriole
ENSG00000174799	CEP135	centrosomal protein 135kDa [Source:HGNC Symbol;Acc:29086]	Mutated in primary microcephaly (type 8) OMIM 611423 PMID:22521416 although this is not currently considered a ciliopathy. Required for centriole formation PMID:17681131. Can bind and stabilize MTs, is required for the early steps of central MT pair formation in flagella PMID:22898782. Stabilises basal bodies PMID:23115304	PMID:22521416, PMID:17681131, PMID:22898782, PMID:23115304	Andersen et al. 2003, Keller et al. 2005, Li et al. 2004, Liu et al. 2007, Nogales-Cadenas et al. 2006, Pazour et al. 2005	Centrosome, Centriole, Basal Body, Central Pair
ENSG00000110274	CEP164	centrosomal protein 164kDa [Source:HGNC Symbol;Acc:29182]	Mutated in nephronophthisis (type 15) OMIM:614848 PMID:22863007. Centriole appendage required for ciliogenesis PMID:17954613. Involved in ciliary INPP5E signalling PMID:23150559. Mediates vesicular docking in early ciliogenesis PMID:23253480. Role in DNA damage signalling PMID:18283122, PMID:19197159	PMID:22863007, PMID:17954613, PMID:23150559.  PMID:23253480, PMID:18283122, PMID:19197159	Andersen et al. 2003, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006	Centriole
ENSG00000126001	CEP250	centrosomal protein 250kDa [Source:HGNC Symbol;Acc:1859]	C-NAP1. Required for ciliogenesis and restraint of DNA damage-induced centriole splitting, in association with rootletin PMID:23070519. 	PMID:23070519	Andersen et al. 2003, Blacque et al. 2005, Chen et al. 2006, Laurencon et al. 2007, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Centriole
ENSG00000198707	CEP290	centrosomal protein 290kDa [Source:HGNC Symbol;Acc:29021]	Mutated in Bardet-Biedl syndrome (type 14), Joubert syndrome (type 5), Leber congenital amaurosis (type 10), Meckel-Gruber syndrome (type 4), nephronophthisis (type 6) and Senior Loken syndrome (type 6) OMIM 610142 PMID:16632484, PMID:16682970, PMID:16909394, PMID:17564974, PMID:17617513. Interacts with centriolar satellite component PCM-1, required for Rab8 localization to the primary cilium PMID:18772192. Interacts with RPGR, required for normal axonemal transport in retinal photoreceptors PMID: 16632484 	PMID:16632484, PMID:16682970, PMID:16909394, PMID:17564974, PMID:17617513, PMID:18772192	Andersen et al. 2003, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Centrosome
ENSG00000106477	CEP41	centrosomal protein 41kDa [Source:HGNC Symbol;Acc:12370]	Mutated in Joubert syndrome (type 15) OMIM 610523 PMID:22246503. Role in tubulin glutamylation	PMID:22246503	Andersen et al. 2003, Arnaiz et al. 2010, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Centriole, Cilia
ENSG00000112877	CEP72	centrosomal protein 72kDa [Source:HGNC Symbol;Acc:25547] 	Interacts with CEP290 and PCM1. Required for recuitment of BBS proteins to cilium. PMID: 22767577	PMID:22767577	Andersen et al. 2003, Nogales-Cadenas et al. 2006	Centriolar Satellite
ENSG00000121289	CEP89	centrosomal protein 89kDa [Source:HGNC Symbol;Acc:25907]	CCDC123. Distal appendage of centrioles, essential for ciliogenesis PMID:23348840.	PMID:23348840.	Andersen et al. 2003, Nogales-Cadenas et al. 2006	Centriole
ENSG00000182504	CEP97	centrosomal protein 97kDa [Source:HGNC Symbol;Acc:26244]	Negative regulator of ciliogenesis. Knockdown promotes primary cilia formation in growing cells PMID: 7719545. Regulates cilium length PMID:19481458	PMID: 7719545, PMID:19481458	Andersen et al. 2003, Nogales-Cadenas et al. 2006, Ross et al. 2007	Centrosome
ENSG00000165376	CLDN2	claudin 2 [Source:HGNC Symbol;Acc:2041]	PMID: 22143774	PMID:22143774		Basal Body, Cilium
ENSG00000103351	CLUAP1	clusterin associated protein 1 [Source:HGNC Symbol;Acc:19009]	IFT complex B component PMID:23351563	PMID:23351563	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Centriole, Cilium
ENSG00000183862	CNGA2	cyclic nucleotide gated channel alpha 2 [Source:HGNC Symbol;Acc:2149]	Subunit of cyclic nucleotide-gated channel in olfactor sensory neuron cilia PMID: 3027574	PMID:3027574	Li et al. 2004, Mayer et al. 2008, Mayer et al. 2009, Pazour et al. 2005	Cilium
ENSG00000132259	CNGA4	cyclic nucleotide gated channel alpha 4 [Source:HGNC Symbol;Acc:2152]	Subunit of cyclic nucleotide-gated channel in olfactor sensory neuron cilia PMID: 3027574	PMID:3027574	Li et al. 2004, Mayer et al. 2008, Mayer et al. 2009, Pazour et al. 2005, Ross et al. 2007	Cilium
ENSG00000070729	CNGB1	cyclic nucleotide gated channel beta 1 [Source:HGNC Symbol;Acc:2151]	Subunit of cyclic nucleotide-gated channel in olfactor sensory neuron cilia PMID: 3027574	PMID:3027574	Liu et al. 2007, Mayer et al. 2009	Cilium
ENSG00000103540	CP110	centriolar coiled coil protein 110kDa [Source:HGNC Symbol;Acc:24342]	Negative regulator of ciliogenesis. Knockdown promotes primary cilia formation in growing cells PMID:17719545. Regulates cilium length. PMID:19481458 Recruited to cilium by KIF24 PMID:21620453 	PMID:17719545, PMID:19481458, PMID:21620453 	Andersen et al. 2003, Nogales-Cadenas et al. 2006, Ross et al. 2007	Centriole
ENSG00000130545	CRB3	crumbs homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:20237]	Localises to cilia, required for ciliogenesis PMID:15324661, possibly via an interaction with importin beta. Specific cilia isoform CRB3-CLPI PMID:17646395 	PMID:15324661, PMID:17646395		Ciliary Membrane
ENSG00000058453	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:21299]	Rootletin. Structural component of ciliary rootlet PMID:12427867. Forms centriole-associated filaments and functions in centrosome cohesion PMID:16203858. Ffunctions as a physical linker between the pair of centrioles/basal bodies in cells, in association with C-NAP1 (CEP250), PMID:16339073 and beta-catenin PMID:18086858 and CEP68 PMID:18042621. Required for ciliogenesis and restraint of DNA damage-induced centriole splitting PMID:23070519. 	PMID:12427867, PMID:16203858, PMID:16339073 PMID:18086858, PMID:18042621, PMID:23070519. 	Andersen et al. 2003, Blacque et al. 2005, Chen et al. 2006, Laurencon et al. 2007, Liu et al. 2007, Nogales-Cadenas et al. 2006	Ciliary Root
ENSG00000168036	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:2514]	Involved in regulation of PKD1 and PKD2 expression. PMID:12048202. Nek2 substrate involved in centrosome separation, along with rootletin (CROCC) PMID: 18086858. Facilitator of canonical Wnt signalling pathway. Many links between cilia and Wnt signalling eg PMID:15852005, PMID:17906624	PMID:18086858, PMID:12048202, PMID:15852005, PMID:17906624	Liu et al. 2007, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ross et al. 2007	Centrosome, Cytosol
ENSG00000146038	DCDC2	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:18141]	Affects signaling and length of primary cilia. Overexpression increases cilium length PMID 21698230	PMID:21698230	Mayer et al. 2009, Stubbs et al. 2008	Cilium, Cytosol
ENSG00000146038	DCDC2	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:18141]	PMID: 21698230	PMID:21698230	Mayer et al. 2009, Stubbs et al. 2008	Ciliary Membrane
ENSG00000095397	DFNB31	deafness, autosomal recessive 31 [Source:HGNC Symbol;Acc:16361]	Whirlin. Mutated in autosomal recessive deafness (type 31) and Usher syndrome (type 2D) OMIM 607928 PMID:12833159 PMID:17171570. In the connecting cilium and basal body of photoreceptor cells. At tips of stereocilia at specific time points in development	PMID:12833159		Basal Body, Cytosol, Connecting Cilium, Ciliary Tip, Stereocilium
ENSG00000162946	DISC1	disrupted in schizophrenia 1 [Source:HGNC Symbol;Acc:2888]	Localized to the plasma membrane of neuronal cilia and NIH3T3 cells PMID: 20531939	PMID:20531939	Nogales-Cadenas et al. 2006	Centrosome
ENSG00000154099	DNAAF1	dynein, axonemal, assembly factor 1 [Source:HGNC Symbol;Acc:30539]	LRRC50. Mutated in primary ciliary dyskinesia (type 13) OMIM 613190 PMID:19944400, PMID:19944405. Assembles dynein arms in cilia thereby stabilizing ciliary architecture. Mutation in zebrafish causes polycystic kidney phenotype PMID:18385425                                 	PMID:18385425, PMID:19944400, PMID:19944405	Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Merchant et al. 2007, Ross et al. 2007, Stolc et al. 2005	Axoneme
ENSG00000165506	DNAAF2	dynein, axonemal, assembly factor 2 [Source:HGNC Symbol;Acc:20188]	Mutated in primary ciliary dyskinesia (type 10) OMIM 612517 Required for cytoplasmic pre-assembly of axonemal dyneins PMID:19052621.	PMID:19052621	Arnaiz et al. 2010	Cytosol
ENSG00000167646	DNAAF3	dynein, axonemal, assembly factor 3 [Source:HGNC Symbol;Acc:30492]	Mutated in primary ciliary dyskinesia (type 2) OMIM 614566 Essential for the preassembly of dyneins into complexes before their transport into cilia PMID:22387996.	PMID:22387996	Ross et al. 2007	Cytosol
ENSG00000114841	DNAH1	dynein, axonemal, heavy chain 1 [Source:HGNC Symbol;Acc:2940]	Component of axonemal dynein. Knockout causes sperm immobility and reduced tracheal ciliary beating in mice PMID:11371505	PMID:11371505	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, Laurencon et al. 2007, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Smith et al. 2005	Axoneme
ENSG00000197653	DNAH10	dynein, axonemal, heavy chain 10 [Source:HGNC Symbol;Acc:2941]	Axonemal dynein heavy chain PMID:11175280. Predicted component of outer dynein arm PMID:15937072	PMID:11175280, PMID:15937072	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, Laurencon et al. 2007, Li et al. 2004, Pazour et al. 2005, Smith et al. 2005	Axoneme
