"Ensembl Gene ID","Associated Gene Name","Description","CiliaCarta Rank","CiliaCarta Score","Inclusion criterionAllGold StandardPredictedGene Ontology"
"ENSG00000183833","MAATS1","MYCBP-associated, testis expressed 1 [Source:HGNC Symbol;Acc:24010]","45","7.0431512","Predicted, Gene Ontology"
"ENSG00000183207","RUVBL2","RuvB-like 2 (E. coli) [Source:HGNC Symbol;Acc:10475]","46","6.920845822","Predicted"
"ENSG00000079974","RABL2B","RAB, member of RAS oncogene family-like 2B [Source:HGNC Symbol;Acc:9800]","47","6.658423151","Predicted, Gene Ontology"
"ENSG00000111837","MAK","male germ cell-associated kinase [Source:HGNC Symbol;Acc:6816]","48","6.658423151","Gene Ontology, Gold Standard"
"ENSG00000144134","RABL2A","RAB, member of RAS oncogene family-like 2A [Source:HGNC Symbol;Acc:9799]","49","6.658423151","Predicted"
"ENSG00000066629","EML1","echinoderm microtubule associated protein like 1 [Source:HGNC Symbol;Acc:3330]","50","6.511216569","Predicted"
"ENSG00000086061","DNAJA1","DnaJ (Hsp40) homolog, subfamily A, member 1 [Source:HGNC Symbol;Acc:5229]","51","6.505895066","Predicted"
"ENSG00000128408","RIBC2","RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:13241]","52","6.472108308","Predicted"
"ENSG00000140057","AK7","adenylate kinase 7 [Source:HGNC Symbol;Acc:20091]","53","6.472108308","Gold Standard"
"ENSG00000151023","ENKUR","enkurin, TRPC channel interacting protein [Source:HGNC Symbol;Acc:28388]","54","6.472108308","Predicted, Gene Ontology"
"ENSG00000160188","RSPH1","radial spoke head 1 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:12371]","55","6.472108308","Gene Ontology, Gold Standard"
"ENSG00000165923","AGBL2","ATP/GTP binding protein-like 2 [Source:HGNC Symbol;Acc:26296]","56","6.472108308","Predicted, Gene Ontology"
"ENSG00000096872","IFT74","intraflagellar transport 74 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:21424]","57","6.24237393","Gene Ontology, Gold Standard"
"ENSG00000088986","DYNLL1","dynein, light chain, LC8-type 1 [Source:HGNC Symbol;Acc:15476]","58","6.197274846","Predicted, Gene Ontology"
"ENSG00000157856","CCDC164","coiled-coil domain containing 164 [Source:HGNC Symbol;Acc:24245]","59","6.039653756","Gene Ontology, Gold Standard"
"ENSG00000167216","KATNAL2","katanin p60 subunit A-like 2 [Source:HGNC Symbol;Acc:25387]","60","6.039653756","Predicted"
"ENSG00000171962","LRRC48","leucine rich repeat containing 48 [Source:HGNC Symbol;Acc:25384]","61","6.039653756","Predicted, Gene Ontology"
"ENSG00000188010","MORN2","MORN repeat containing 2 [Source:HGNC Symbol;Acc:30166]","62","5.973324414","Predicted"
"ENSG00000167552","TUBA1A","tubulin, alpha 1a [Source:HGNC Symbol;Acc:20766]","63","5.97004289","Gene Ontology, Gold Standard"
"ENSG00000150628","SPATA4","spermatogenesis associated 4 [Source:HGNC Symbol;Acc:17333]","64","5.777114306","Predicted"
"ENSG00000123607","TTC21B","tetratricopeptide repeat domain 21B [Source:HGNC Symbol;Acc:25660]","65","5.580545431","Gene Ontology, Gold Standard"
"ENSG00000165533","TTC8","tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:20087]","66","5.580545431","Gene Ontology, Gold Standard"
"ENSG00000156313","RPGR","retinitis pigmentosa GTPase regulator [Source:HGNC Symbol;Acc:10295]","67","5.538289246","Gene Ontology, Gold Standard"
"ENSG00000163818","LZTFL1","leucine zipper transcription factor-like 1 [Source:HGNC Symbol;Acc:6741]","68","5.538289246","Gold Standard"
"ENSG00000128581","RABL5","RAB, member RAS oncogene family-like 5 [Source:HGNC Symbol;Acc:21895]","69","5.537588338","Gene Ontology, Gold Standard"
"ENSG00000149201","CCDC81","coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:26281]","70","5.351974403","Predicted"
"ENSG00000151575","TEX9","testis expressed 9 [Source:HGNC Symbol;Acc:29585]","71","5.351974403","Predicted"
"ENSG00000165309","ARMC3","armadillo repeat containing 3 [Source:HGNC Symbol;Acc:30964]","72","5.351974403","Predicted"
"ENSG00000188931","C1orf192","chromosome 1 open reading frame 192 [Source:HGNC Symbol;Acc:32325]","73","5.351974403","Predicted, Gene Ontology"
"ENSG00000157423","HYDIN","HYDIN, axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:19368]","74","5.351273495","Gene Ontology, Gold Standard"
"ENSG00000021300","PLEKHB1","pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:19079]","75","5.251793417","Predicted"
"ENSG00000131697","NPHP4","nephronophthisis 4 [Source:HGNC Symbol;Acc:19104]","76","5.228968118","Gene Ontology, Gold Standard"
"ENSG00000011143","MKS1","Meckel syndrome, type 1 [Source:HGNC Symbol;Acc:7121]","77","5.148791786","Gene Ontology, Gold Standard"
"ENSG00000122507","BBS9","Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:30000]","78","5.148791786","Gene Ontology, Gold Standard"
"ENSG00000125124","BBS2","Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:967]","79","5.148791786","Gene Ontology, Gold Standard"
"ENSG00000131018","SYNE1","spectrin repeat containing, nuclear envelope 1 [Source:HGNC Symbol;Acc:17089]","80","5.148791786","Predicted"
"ENSG00000077327","SPAG6","sperm associated antigen 6 [Source:HGNC Symbol;Acc:11215]","81","5.066726433","Gene Ontology, Gold Standard"
"ENSG00000096093","EFHC1","EF-hand domain (C-terminal) containing 1 [Source:HGNC Symbol;Acc:16406]","82","5.066726433","Gene Ontology, Gold Standard"
"ENSG00000101222","SPEF1","sperm flagellar 1 [Source:HGNC Symbol;Acc:15874]","83","5.066726433","Predicted, Gene Ontology"
"ENSG00000152763","WDR78","WD repeat domain 78 [Source:HGNC Symbol;Acc:26252]","84","5.066726433","Gene Ontology, Gold Standard"
"ENSG00000163879","DNALI1","dynein, axonemal, light intermediate chain 1 [Source:HGNC Symbol;Acc:14353]","85","5.066726433","Gene Ontology, Gold Standard"
"ENSG00000164675","IQUB","IQ motif and ubiquitin domain containing [Source:HGNC Symbol;Acc:21995]","86","5.066726433","Predicted, Gene Ontology"
"ENSG00000172426","RSPH9","radial spoke head 9 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:21057]","87","5.066726433","Gene Ontology, Gold Standard"
"ENSG00000183690","EFHC2","EF-hand domain (C-terminal) containing 2 [Source:HGNC Symbol;Acc:26233]","88","5.066726433","Predicted"
"ENSG00000119333","WDR34","WD repeat domain 34 [Source:HGNC Symbol;Acc:28296]","89","5.012279195","Predicted, Gene Ontology"
"ENSG00000138587","MNS1","meiosis-specific nuclear structural 1 [Source:HGNC Symbol;Acc:29636]","90","5.00039709","Gene Ontology, Gold Standard"
"ENSG00000140403","DNAJA4","DnaJ (Hsp40) homolog, subfamily A, member 4 [Source:HGNC Symbol;Acc:14885]","91","4.994489173","Predicted"
"ENSG00000171497","PPID","peptidylprolyl isomerase D [Source:HGNC Symbol;Acc:9257]","92","4.994489173","Predicted"
"ENSG00000092850","TEKT2","tektin 2 (testicular) [Source:HGNC Symbol;Acc:11725]","93","4.919519851","Gene Ontology, Gold Standard"
"ENSG00000103494","RPGRIP1L","RPGRIP1-like [Source:HGNC Symbol;Acc:29168]","94","4.919519851","Gene Ontology, Gold Standard"
"ENSG00000068885","IFT80","intraflagellar transport 80 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:29262]","95","4.863543816","Gene Ontology, Gold Standard"
"ENSG00000070761","C16orf80","chromosome 16 open reading frame 80 [Source:HGNC Symbol;Acc:29523]","96","4.863543816","Predicted, Gene Ontology"
"ENSG00000101052","IFT52","intraflagellar transport 52 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:15901]","97","4.863543816","Gene Ontology, Gold Standard"
"ENSG00000138175","ARL3","ADP-ribosylation factor-like 3 [Source:HGNC Symbol;Acc:694]","98","4.863543816","Gene Ontology, Gold Standard"
"ENSG00000163093","BBS5","Bardet-Biedl syndrome 5 [Source:HGNC Symbol;Acc:970]","99","4.863543816","Gene Ontology, Gold Standard"
"ENSG00000187535","IFT140","intraflagellar transport 140 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:29077]","100","4.863543816","Gene Ontology, Gold Standard"
"ENSG00000166963","MAP1A","microtubule-associated protein 1A [Source:HGNC Symbol;Acc:6835]","101","4.819338864","Predicted"
"ENSG00000123977","WDR69","WD repeat domain 69 [Source:HGNC Symbol;Acc:26383]","102","4.780230604","Predicted, Gene Ontology"
"ENSG00000119661","DNAL1","dynein, axonemal, light chain 1 [Source:HGNC Symbol;Acc:23247]","103","4.773616862","Gene Ontology, Gold Standard"
"ENSG00000100271","TTLL1","tubulin tyrosine ligase-like family, member 1 [Source:HGNC Symbol;Acc:1312]","104","4.677228973","Predicted, Gene Ontology"
"ENSG00000105877","DNAH11","dynein, axonemal, heavy chain 11 [Source:HGNC Symbol;Acc:2942]","105","4.677228973","Gene Ontology, Gold Standard"
"ENSG00000118997","DNAH7","dynein, axonemal, heavy chain 7 [Source:HGNC Symbol;Acc:18661]","106","4.677228973","Predicted, Gene Ontology"
"ENSG00000158486","DNAH3","dynein, axonemal, heavy chain 3 [Source:HGNC Symbol;Acc:2949]","107","4.677228973","Predicted, Gene Ontology"
"ENSG00000197653","DNAH10","dynein, axonemal, heavy chain 10 [Source:HGNC Symbol;Acc:2941]","108","4.677228973","Gene Ontology, Gold Standard"
"ENSG00000115423","DNAH6","dynein, axonemal, heavy chain 6 [Source:HGNC Symbol;Acc:2951]","109","4.63427188","Gene Ontology, Gold Standard"
"ENSG00000155026","RSPH10B","radial spoke head 10 homolog B (Chlamydomonas) [Source:HGNC Symbol;Acc:27362]","110","4.63427188","Predicted"
"ENSG00000159079","C21orf59","chromosome 21 open reading frame 59 [Source:HGNC Symbol;Acc:1301]","111","4.63427188","Predicted, Gene Ontology"
"ENSG00000174844","DNAH12","dynein, axonemal, heavy chain 12 [Source:HGNC Symbol;Acc:2943]","112","4.63427188","Predicted, Gene Ontology"
"ENSG00000067369","TP53BP1","tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:11999]","113","4.610899631","Predicted"
"ENSG00000116127","ALMS1","Alstrom syndrome 1 [Source:HGNC Symbol;Acc:428]","114","4.556799415","Gold Standard"
"ENSG00000111554","MDM1","Mdm1 nuclear protein homolog (mouse) [Source:HGNC Symbol;Acc:29917]","115","4.534791802","Gold Standard"
"ENSG00000187391","MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:18957]","116","4.510718644","Predicted"
"ENSG00000196220","SRGAP3","SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:19744]","117","4.470319894","Predicted"
"ENSG00000034239","EFCAB1","EF-hand calcium binding domain 1 [Source:HGNC Symbol;Acc:25678]","118","4.348476959","Predicted"
"ENSG00000111913","FAM65B","family with sequence similarity 65, member B [Source:HGNC Symbol;Acc:13872]","119","4.348476959","Predicted"
"ENSG00000112539","C6orf118","chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:21233]","120","4.348476959","Predicted"
"ENSG00000112981","NME5","NME/NM23 family member 5 [Source:HGNC Symbol;Acc:7853]","121","4.348476959","Gene Ontology, Gold Standard"
"ENSG00000124237","C20orf85","chromosome 20 open reading frame 85 [Source:HGNC Symbol;Acc:16216]","122","4.348476959","Predicted"
"ENSG00000133665","DYDC2","DPY30 domain containing 2 [Source:HGNC Symbol;Acc:23468]","123","4.348476959","Predicted"
"ENSG00000137821","LRRC49","leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:25965]","124","4.348476959","Predicted"
"ENSG00000141294","LRRC46","leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:25047]","125","4.348476959","Predicted"
"ENSG00000152076","CCDC74B","coiled-coil domain containing 74B [Source:HGNC Symbol;Acc:25267]","126","4.348476959","Predicted"
"ENSG00000159713","TPPP3","tubulin polymerization-promoting protein family member 3 [Source:HGNC Symbol;Acc:24162]","127","4.348476959","Predicted"
"ENSG00000160345","C9orf116","chromosome 9 open reading frame 116 [Source:HGNC Symbol;Acc:28435]","128","4.348476959","Predicted"
"ENSG00000173947","PIFO","primary cilia formation [Source:HGNC Symbol;Acc:27009]","129","4.348476959","Predicted, Gene Ontology"
"ENSG00000178965","C1orf173","chromosome 1 open reading frame 173 [Source:HGNC Symbol;Acc:25346]","130","4.348476959","Predicted"
"ENSG00000179902","C1orf194","chromosome 1 open reading frame 194 [Source:HGNC Symbol;Acc:32331]","131","4.348476959","Predicted"
"ENSG00000215217","C5orf49","chromosome 5 open reading frame 49 [Source:HGNC Symbol;Acc:27028]","132","4.348476959","Predicted"
"ENSG00000110274","CEP164","centrosomal protein 164kDa [Source:HGNC Symbol;Acc:29182]","133","4.288708219","Gene Ontology, Gold Standard"
"ENSG00000106992","AK1","adenylate kinase 1 [Source:HGNC Symbol;Acc:361]","134","4.185071923","Predicted, Gene Ontology"
"ENSG00000158234","FAIM","Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:18703]","135","4.145294342","Predicted"
"ENSG00000101350","KIF3B","kinesin family member 3B [Source:HGNC Symbol;Acc:6320]","136","4.139972839","Gene Ontology, Gold Standard"
"ENSG00000204852","TCTN1","tectonic family member 1 [Source:HGNC Symbol;Acc:26113]","137","4.102337249","Gene Ontology, Gold Standard"
"ENSG00000085433","WDR47","WD repeat domain 47 [Source:HGNC Symbol;Acc:29141]","138","4.073643497","Predicted"
"ENSG00000135541","AHI1","Abelson helper integration site 1 [Source:HGNC Symbol;Acc:21575]","139","4.073643497","Gene Ontology, Gold Standard"
"ENSG00000004838","ZMYND10","zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]","140","4.063228988","Predicted, Gene Ontology"
"ENSG00000103021","CCDC113","coiled-coil domain containing 113 [Source:HGNC Symbol;Acc:25002]","141","4.063228988","Predicted, Gene Ontology"
"ENSG00000114473","IQCG","IQ motif containing G [Source:HGNC Symbol;Acc:25251]","142","4.063228988","Predicted, Gene Ontology"
"ENSG00000137473","TTC29","tetratricopeptide repeat domain 29 [Source:HGNC Symbol;Acc:29936]","143","4.063228988","Gold Standard"
"ENSG00000145491","ROPN1L","rhophilin associated tail protein 1-like [Source:HGNC Symbol;Acc:24060]","144","4.063228988","Gene Ontology, Gold Standard"
"ENSG00000162643","WDR63","WD repeat domain 63 [Source:HGNC Symbol;Acc:30711]","145","4.063228988","Predicted"
"ENSG00000162814","SPATA17","spermatogenesis associated 17 [Source:HGNC Symbol;Acc:25184]","146","4.063228988","Predicted"
"ENSG00000205084","TMEM231","transmembrane protein 231 [Source:HGNC Symbol;Acc:37234]","147","4.008781751","Gene Ontology, Gold Standard"
"ENSG00000170264","FAM161A","family with sequence similarity 161, member A [Source:HGNC Symbol;Acc:25808]","148","3.988533179","Gene Ontology, Gold Standard"
"ENSG00000064199","SPA17","sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:11210]","149","3.916022407","Gene Ontology, Gold Standard"
"ENSG00000080572","PIH1D3","PIH1 domain containing 3 [Source:HGNC Symbol;Acc:28570]","150","3.916022407","Predicted, Gene Ontology"
"ENSG00000100218","RTDR1","rhabdoid tumor deletion region gene 1 [Source:HGNC Symbol;Acc:13437]","151","3.916022407","Predicted"
"ENSG00000103540","CCP110","centriolar coiled coil protein 110kDa [Source:HGNC Symbol;Acc:24342]","152","3.916022407","Gene Ontology, Gold Standard"
"ENSG00000105792","C7orf63","chromosome 7 open reading frame 63 [Source:HGNC Symbol;Acc:26107]","153","3.916022407","Predicted"
"ENSG00000118513","MYB","v-myb myeloblastosis viral oncogene homolog (avian) [Source:HGNC Symbol;Acc:7545]","154","3.916022407","Predicted"
"ENSG00000129007","CALML4","calmodulin-like 4 [Source:HGNC Symbol;Acc:18445]","155","3.916022407","Predicted"
"ENSG00000150773","PIH1D2","PIH1 domain containing 2 [Source:HGNC Symbol;Acc:25210]","156","3.916022407","Predicted"
"ENSG00000154479","CCDC173","coiled-coil domain containing 173 [Source:HGNC Symbol;Acc:25064]","157","3.916022407","Predicted"
"ENSG00000155761","SPAG17","sperm associated antigen 17 [Source:HGNC Symbol;Acc:26620]","158","3.916022407","Gene Ontology, Gold Standard"
"ENSG00000162543","UBXN10","UBX domain protein 10 [Source:HGNC Symbol;Acc:26354]","159","3.916022407","Predicted, Gene Ontology"
"ENSG00000164185","ZNF474","zinc finger protein 474 [Source:HGNC Symbol;Acc:23245]","160","3.916022407","Predicted"
"ENSG00000172361","CCDC11","coiled-coil domain containing 11 [Source:HGNC Symbol;Acc:26530]","161","3.916022407","Predicted, Gene Ontology"
"ENSG00000172771","EFCAB12","EF-hand calcium binding domain 12 [Source:HGNC Symbol;Acc:28061]","162","3.916022407","Predicted"
"ENSG00000173627","APOBEC4","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative) [Source:HGNC Symbol;Acc:32152]","163","3.916022407","Predicted"
"ENSG00000177994","C2orf73","chromosome 2 open reading frame 73 [Source:HGNC Symbol;Acc:26861]","164","3.916022407","Predicted"
"ENSG00000189350","FAM179A","family with sequence similarity 179, member A [Source:HGNC Symbol;Acc:33715]","165","3.916022407","Predicted"
"ENSG00000198003","CCDC151","coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:28303]","166","3.916022407","Predicted, Gene Ontology"
"ENSG00000198553","KCNRG","potassium channel regulator [Source:HGNC Symbol;Acc:18893]","167","3.916022407","Predicted"
"ENSG00000203778","FAM229B","family with sequence similarity 229, member B [Source:HGNC Symbol;Acc:33858]","168","3.916022407","Predicted"
"ENSG00000203780","FANK1","fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:23527]","169","3.916022407","Predicted"
"ENSG00000172915","NBEA","neurobeachin [Source:HGNC Symbol;Acc:7648]","170","3.846411541","Predicted"
"ENSG00000075945","KIFAP3","kinesin-associated protein 3 [Source:HGNC Symbol;Acc:17060]","171","3.788395526","Predicted, Gene Ontology"
"ENSG00000080823","MOK","MOK protein kinase [Source:HGNC Symbol;Acc:9833]","172","3.673731529","Predicted, Gene Ontology"
"ENSG00000111834","RSPH4A","radial spoke head 4 homolog A (Chlamydomonas) [Source:HGNC Symbol;Acc:21558]","173","3.673731529","Gene Ontology, Gold Standard"
"ENSG00000131044","TTLL9","tubulin tyrosine ligase-like family, member 9 [Source:HGNC Symbol;Acc:16118]","174","3.673731529","Gene Ontology, Gold Standard"
"ENSG00000163885","CCDC37","coiled-coil domain containing 37 [Source:HGNC Symbol;Acc:26842]","175","3.673731529","Gene Ontology, Gold Standard"
"ENSG00000197826","C4orf22","chromosome 4 open reading frame 22 [Source:HGNC Symbol;Acc:28554]","176","3.673731529","Predicted"
"ENSG00000138771","SHROOM3","shroom family member 3 [Source:HGNC Symbol;Acc:30422]","177","3.653482957","Predicted"
"ENSG00000141519","CCDC40","coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:26090]","178","3.653482957","Gene Ontology, Gold Standard"
"ENSG00000135205","CCDC146","coiled-coil domain containing 146 [Source:HGNC Symbol;Acc:29296]","179","3.630774436","Predicted"
"ENSG00000139714","MORN3","MORN repeat containing 3 [Source:HGNC Symbol;Acc:29807]","180","3.630774436","Predicted"
"ENSG00000159625","CCDC135","coiled-coil domain containing 135 [Source:HGNC Symbol;Acc:25289]","181","3.630774436","Predicted, Gene Ontology"
"ENSG00000169402","RSPH10B2","radial spoke head 10 homolog B2 (Chlamydomonas) [Source:HGNC Symbol;Acc:34385]","182","3.630774436","Predicted"
"ENSG00000171174","RBKS","ribokinase [Source:HGNC Symbol;Acc:30325]","183","3.630774436","Predicted"
"ENSG00000182224","CYB5D1","cytochrome b5 domain containing 1 [Source:HGNC Symbol;Acc:26516]","184","3.630774436","Predicted"
"ENSG00000213204","C6orf165","chromosome 6 open reading frame 165 [Source:HGNC Symbol;Acc:21405]","185","3.630774436","Predicted"
"ENSG00000126870","WDR60","WD repeat domain 60 [Source:HGNC Symbol;Acc:21862]","186","3.605649461","Gene Ontology, Gold Standard"
"ENSG00000055163","CYFIP2","cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:13760]","187","3.555321927","Predicted"
"ENSG00000164114","MAP9","microtubule-associated protein 9 [Source:HGNC Symbol;Acc:26118]","188","3.46682245","Predicted"
"ENSG00000115685","PPP1R7","protein phosphatase 1, regulatory subunit 7 [Source:HGNC Symbol;Acc:9295]","189","3.456914082","Predicted"
"ENSG00000198947","DMD","dystrophin [Source:HGNC Symbol;Acc:2928]","190","3.456914082","Predicted"
"ENSG00000168026","TTC21A","tetratricopeptide repeat domain 21A [Source:HGNC Symbol;Acc:30761]","191","3.368234986","Predicted, Gene Ontology"
"ENSG00000025796","SEC63","SEC63 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21082]","193","3.314858196","Predicted"
"ENSG00000133265","HSPBP1","HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1 [Source:HGNC Symbol;Acc:24989]","194","3.227642146","Predicted"
"ENSG00000110619","CARS","cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493]","195","3.136475395","Predicted"
